"Prompt","Seed"
"Taylor Swift is leaning against a wall playing an acoustic guitar on a wooden porch.","5108603"
"Taylor Swift is smiling gently at the camera wearing a sequined bodysuit at a concert.","2458591"
"Taylor Swift is sitting comfortably on a wooden chair on a massive stadium stage with fireworks.","2571945"
"Taylor Swift is checking a silver wristwatch walking through a field of tall grass at sunset.","1445199"
"Taylor Swift is tapping their foot impatiently posing for a magazine cover in a studio.","8038374"
"Taylor Swift is shaking hands with an invisible partner playing an acoustic guitar on a wooden porch.","1109031"
"Taylor Swift is waving a hand to someone far away sitting at a vintage piano in a candlelit room.","5661907"
"Taylor Swift is gazing strictly into the distance sitting at a vintage piano in a candlelit room.","2714803"
"Taylor Swift is carrying a heavy leather briefcase wearing a sequined bodysuit at a concert.","7022674"
"Taylor Swift is shaking a bottle of champagne playing an acoustic guitar on a wooden porch.","1728977"
"Taylor Swift is giving a thumbs up to the crowd wearing a sequined bodysuit at a concert.","7350753"
"Taylor Swift is checking their reflection in a mirror filming a music video in a rain machine.","7067228"
"Taylor Swift is kneeling down to inspect something playing a moss-covered piano in a forest set.","4823498"
"Taylor Swift is rubbing their chin in deep thought sitting on a stool writing lyrics in a notebook.","2694522"
"Taylor Swift is pouring tea into a porcelain cup sitting on a velvet sofa with a fluffy cat.","7120868"
"Taylor Swift is holding a passport and boarding pass walking down a busy NYC street with paparazzi.","4514944"
"Taylor Swift is looking at their fingernails holding a sparkly guitar under a spotlight.","3871230"
"Taylor Swift is nodding their head in agreement sitting on a velvet sofa with a fluffy cat.","7366205"
"Taylor Swift is straightening their tie posing for a magazine cover in a studio.","4684531"
"Taylor Swift is stretching their arms upwards sitting on a stool writing lyrics in a notebook.","1538552"
"Taylor Swift is holding a glass of red wine playing an acoustic guitar on a wooden porch.","2110460"
"Taylor Swift is eating a slice of green apple sitting at a vintage piano in a candlelit room.","4567281"
"Taylor Swift is cleaning a pair of sunglasses sitting on a velvet sofa with a fluffy cat.","3396987"
"Taylor Swift is smiling gently at the camera sitting on a stool writing lyrics in a notebook.","5408072"
"Taylor Swift is signing an autograph on a piece of paper at an awards show red carpet wearing a gown.","7073292"
"Taylor Swift is smiling gently at the camera walking through a field of tall grass at sunset.","9279821"
"Taylor Swift is placing hands on their hips wearing a sequined bodysuit at a concert.","3564251"
"Taylor Swift is waving a hand to someone far away holding a sparkly guitar under a spotlight.","7455324"
"Taylor Swift is holding a trophy high in the air sitting on a velvet sofa with a fluffy cat.","9877065"
"Taylor Swift is checking their reflection in a mirror on a massive stadium stage with fireworks.","2921859"
"Taylor Swift is looking at their fingernails sitting at a vintage piano in a candlelit room.","2871534"
"Taylor Swift is pointing at a landmark in the distance walking down a long catwalk stage.","8612220"
"Taylor Swift is holding a black umbrella in the breeze walking through a field of tall grass at sunset.","3997281"
"Taylor Swift is checking their pulse on their wrist filming a music video in a rain machine.","9517169"
"Taylor Swift is looking surprised with wide eyes walking down a busy NYC street with paparazzi.","3710343"
"Taylor Swift is holding a trophy high in the air sitting at a vintage piano in a candlelit room.","9197443"
"Taylor Swift is laughing heartily with a close friend walking down a busy NYC street with paparazzi.","6159230"
"Taylor Swift is throwing a coin into a fountain holding a sparkly guitar under a spotlight.","9937326"
"Taylor Swift is yawning while covering their mouth cheering in a VIP suite at a football stadium.","3770370"
"Taylor Swift is posing for a formal photograph baking cookies in a vintage-style kitchen.","4553384"
"Taylor Swift is adjusting a microphone on a stand at an awards show red carpet wearing a gown.","7264956"
"Taylor Swift is whispering into someone's ear sitting on a velvet sofa with a fluffy cat.","3030113"
"Taylor Swift is drinking water from a transparent glass holding a sparkly guitar under a spotlight.","6672134"
"Taylor Swift is cutting a ribbon with scissors posing for a magazine cover in a studio.","4860684"
"Taylor Swift is walking slowly and thoughtfully holding a sparkly guitar under a spotlight.","1987737"
"Taylor Swift is opening a heavy wooden door sitting on a stool writing lyrics in a notebook.","5672073"
"Taylor Swift is gazing strictly into the distance posing for a magazine cover in a studio.","3219824"
"Taylor Swift is reading a thick printed document cheering in a VIP suite at a football stadium.","7829332"
"Taylor Swift is leaning forward to listen closely wearing a sequined bodysuit at a concert.","8231838"
"Taylor Swift is waving a hand to someone far away baking cookies in a vintage-style kitchen.","8835373"
"Taylor Swift is tapping their foot impatiently wearing a sequined bodysuit at a concert.","2016911"
"Taylor Swift is tying their shoelaces wearing a sequined bodysuit at a concert.","5171761"
"Taylor Swift is adjusting their glasses with a serious look posing for a magazine cover in a studio.","8526486"
"Taylor Swift is waving a hand to someone far away walking down a long catwalk stage.","5673212"
"Taylor Swift is reading a thick printed document holding a sparkly guitar under a spotlight.","8434500"
"Taylor Swift is placing hands on their hips posing for a magazine cover in a studio.","1247595"
"Taylor Swift is talking seriously on a mobile phone walking down a long catwalk stage.","7818496"
"Taylor Swift is drawing a circle on a whiteboard inside a professional recording studio with headphones.","7728339"
"Taylor Swift is shaking their head in disapproval at an awards show red carpet wearing a gown.","1036161"
"Taylor Swift is holding a black umbrella in the breeze sitting on a velvet sofa with a fluffy cat.","5785687"
"Taylor Swift is admiring a painting on the wall cheering in a VIP suite at a football stadium.","3597059"
"Taylor Swift is flipping through a photo album inside a professional recording studio with headphones.","1981186"
"Taylor Swift is lighting a candle with a match playing a moss-covered piano in a forest set.","1841248"
"Taylor Swift is stepping out of a luxury car walking through a field of tall grass at sunset.","3641282"
"Taylor Swift is opening a heavy wooden door holding a sparkly guitar under a spotlight.","4117625"
"Taylor Swift is holding a trophy high in the air holding a sparkly guitar under a spotlight.","4946066"
"Taylor Swift is frowning while looking at a screen sitting on a stool writing lyrics in a notebook.","1666754"
"Taylor Swift is jogging in place energetically walking through a field of tall grass at sunset.","6307805"
"Taylor Swift is looking tired and rubbing their eyes sitting at a vintage piano in a candlelit room.","5004485"
"Taylor Swift is cleaning a pair of sunglasses singing into a microphone with a large crowd behind.","6033115"
"Taylor Swift is lighting a candle with a match holding a sparkly guitar under a spotlight.","1156287"
"Taylor Swift is tucking hair behind their ear wearing a sequined bodysuit at a concert.","2229110"
"Taylor Swift is stepping out of a luxury car playing an acoustic guitar on a wooden porch.","3222252"
"Taylor Swift is kneeling down to inspect something sitting on a stool writing lyrics in a notebook.","7199635"
"Taylor Swift is adjusting a hat on their head posing for a magazine cover in a studio.","6022741"
"Taylor Swift is smiling gently at the camera playing an acoustic guitar on a wooden porch.","2936571"
"Taylor Swift is checking their reflection in a mirror singing into a microphone with a large crowd behind.","5569244"
"Taylor Swift is shaking a bottle of champagne inside a professional recording studio with headphones.","6752576"
"Taylor Swift is straightening their tie playing an acoustic guitar on a wooden porch.","9479356"
"Taylor Swift is writing notes with a luxury pen playing a moss-covered piano in a forest set.","2548511"
"Taylor Swift is pouring tea into a porcelain cup playing a moss-covered piano in a forest set.","1059486"
"Taylor Swift is yawning while covering their mouth playing an acoustic guitar on a wooden porch.","3710895"
"Taylor Swift is checking their reflection in a mirror baking cookies in a vintage-style kitchen.","1162230"
"Taylor Swift is pacing back and forth anxiously singing into a microphone with a large crowd behind.","1604451"
"Taylor Swift is signing an autograph on a piece of paper posing for a magazine cover in a studio.","3484601"
"Taylor Swift is yawning while covering their mouth playing a moss-covered piano in a forest set.","6171716"
"Taylor Swift is crossing their arms confidently walking down a busy NYC street with paparazzi.","4524499"
"Taylor Swift is adjusting a hat on their head wearing a sequined bodysuit at a concert.","6933742"
"Taylor Swift is tucking hair behind their ear singing into a microphone with a large crowd behind.","4971793"
"Taylor Swift is biting their lip nervously baking cookies in a vintage-style kitchen.","1415846"
"Taylor Swift is holding a cup of hot coffee with both hands baking cookies in a vintage-style kitchen.","5163555"
"Taylor Swift is nodding their head in agreement wearing a sequined bodysuit at a concert.","7417985"
"Taylor Swift is wiping dust off a table sitting on a stool writing lyrics in a notebook.","4348276"
