Identity,Variant,Prompt,Seed
trump,studio_portrait,"A continuous photorealistic medium close-up video shows Trump posing for a formal portrait in a bright television interview studio. Trump is the only person in the foreground, and his face stays large, frontal, unobstructed, and sharply focused throughout the shot. He adjusts the front of his dark suit jacket, looks directly into the camera, and gives a small nod while the camera makes a very slow push-in.",5572250
obama,climate_summit,"A continuous medium-wide video shows Barack Obama giving a speech at a climate summit with his face clearly visible throughout the shot. He straightens his tie and then turns toward a large presentation screen while making a measured hand gesture. The camera gently pushes forward as audience members move softly in the background.",5067204
musk,podcast_studio,"A continuous medium video shows Elon Musk seated in a modern podcast studio with his face clearly visible throughout the shot. He adjusts a microphone on its stand and leans forward to speak before briefly looking toward a second camera. The main camera makes a slow arc while studio indicator lights glow behind him.",8149041
merkel,european_summit,"A continuous medium-wide video shows Angela Merkel at a European Union summit with her face clearly visible throughout the shot. She adjusts her glasses and turns one page of a briefing document before nodding toward another delegate. The camera slides gently along the conference table while European flags remain visible in the background.",3535551
elizabeth,palace_balcony,"A continuous medium-wide video shows Queen Elizabeth II on a palace balcony during a parade with her face clearly visible throughout the shot. She adjusts the brim of her hat and then raises one hand in a slow wave toward the crowd. The camera pans smoothly beside her while flags and decorations move in the breeze.",5205840
swift,concert_closeup,"A continuous photorealistic medium close-up video shows Taylor Swift wearing a sparkling sequined performance outfit at a brightly lit concert. Taylor Swift is the only person in the foreground, and her face stays large, frontal, unobstructed, and sharply focused throughout the shot. She smiles directly at the camera, holds a microphone, and gently raises one hand while the camera makes a very slow push-in.",2458591
trump,oval_office_desk,"A continuous photorealistic medium close-up video shows Trump seated at the Resolute Desk in the Oval Office. Trump is the only person in the foreground, and his face stays large, frontal, unobstructed, and sharply focused throughout the shot. He rests one hand on the desk, gives a brief thumbs-up, and then looks directly into the camera while it slowly moves closer.",6312692
obama,sunlit_corridor,"A continuous medium-wide video shows Barack Obama walking through a sunlit institutional corridor with his face clearly visible throughout the shot. He gives a brief thumbs-up and turns toward a nearby colleague while continuing forward at a relaxed pace. The camera tracks backward smoothly and keeps his head and upper body unobstructed.",8017921
musk,spacex_hangar,"A continuous medium-wide video shows Elon Musk inside a high-tech SpaceX hangar with his face clearly visible throughout the shot. He walks past a metallic spacecraft component and points toward a control panel before turning back toward the camera. The camera follows laterally while technicians and equipment remain softly out of focus.",4121368
merkel,berlin_cafe,"A continuous medium video shows Angela Merkel seated at a quiet cafe in Berlin with her face clearly visible throughout the shot. She folds a newspaper and rubs her chin thoughtfully before looking toward someone across the table. The camera makes a slow push-in while pedestrians pass behind the window.",7945543
elizabeth,palace_garden,"A continuous medium-wide video shows Queen Elizabeth II walking through a formal palace garden with a corgi beside her and her face clearly visible throughout the shot. She pauses to pet the dog and then turns to wave toward someone beyond the frame. The camera tracks gently along the path while flowers move in the breeze.",6550757
swift,lyrics_studio,"A continuous photorealistic medium close-up video shows Taylor Swift seated on a stool in a quiet recording studio with an open lyric notebook. Taylor Swift is the only person in the foreground, and her face stays large, frontal, unobstructed, and sharply focused throughout the shot. She writes one short line, lifts her gaze, and smiles gently at the camera during a subtle slow push-in.",5408072
