"Prompt","Seed"
"Trump is shrugging their shoulders shaking hands with supporters at a barrier.","6837817"
"Trump is holding a cup of hot coffee with both hands near a tall American flag on a stage.","2754894"
"Trump is holding a cup of hot coffee with both hands at a press conference in the White House briefing room.","9312590"
"Trump is shielding their eyes from the sun in the Oval Office sitting at the Resolute Desk.","1615675"
"Trump is shrugging their shoulders near a tall American flag on a stage.","5234550"
"Trump is laughing heartily with a close friend in the Oval Office sitting at the Resolute Desk.","9633492"
"Trump is shielding their eyes from the sun at a construction site wearing a helmet.","8750676"
"Trump is placing hands on their hips standing on a red carpet at a gala.","9697969"
"Trump is tucking hair behind their ear shaking hands with supporters at a barrier.","8416216"
"Trump is looking tired and rubbing their eyes at a massive outdoor campaign rally.","3198037"
"Trump is clapping hands gently shaking hands with supporters at a barrier.","3037191"
"Trump is checking their pulse on their wrist inside a private helicopter.","5014745"
"Trump is adjusting a microphone on a stand at a construction site wearing a helmet.","1229419"
"Trump is shrugging their shoulders inside a gilded ballroom with chandeliers.","2903561"
"Trump is frowning while looking at a screen at a Florida golf course under the sun.","9361353"
"Trump is opening a heavy wooden door at a massive outdoor campaign rally.","7970771"
"Trump is wiping dust off a table inside a gilded ballroom with chandeliers.","8663605"
"Trump is searching for keys in a pocket standing on a red carpet at a gala.","9526867"
"Trump is kneeling down to inspect something at a massive outdoor campaign rally.","7961578"
"Trump is stepping out of a luxury car at a massive outdoor campaign rally.","1043037"
"Trump is holding a tablet and scrolling on the balcony of the White House.","9214801"
"Trump is shaking hands with an invisible partner at a construction site wearing a helmet.","9125900"
"Trump is holding a cup of hot coffee with both hands at a construction site wearing a helmet.","7328534"
"Trump is opening a large paper map standing on a red carpet at a gala.","5006492"
"Trump is checking a silver wristwatch at a press conference in the White House briefing room.","1732280"
"Trump is wiping dust off a table in the Oval Office sitting at the Resolute Desk.","7477326"
"Trump is reaching out to touch a flower inside the gold-themed Trump Tower lobby.","3118060"
"Trump is leaning forward to listen closely surrounded by Secret Service agents.","2672884"
"Trump is standing still and meditating at a Florida golf course under the sun.","7878299"
"Trump is pacing back and forth anxiously shaking hands with supporters at a barrier.","5446344"
"Trump is tucking hair behind their ear in the Oval Office sitting at the Resolute Desk.","2347467"
"Trump is giving a thumbs up to the crowd in the Oval Office sitting at the Resolute Desk.","6312692"
"Trump is saluting respectfully inside the gold-themed Trump Tower lobby.","2147909"
"Trump is checking their pulse on their wrist behind a podium with many microphones.","4816586"
"Trump is pointing at a landmark in the distance on a private jet with cream leather seats.","2686231"
"Trump is shaking their head in disapproval behind a podium with many microphones.","1485654"
"Trump is opening a large paper map inside the gold-themed Trump Tower lobby.","5921894"
"Trump is holding a passport and boarding pass at a press conference in the White House briefing room.","3442255"
"Trump is posing for a formal photograph at a press conference in the White House briefing room.","4020853"
"Trump is biting their lip nervously in a luxury private boardroom with mahogany tables.","7418028"
