"Prompt","Seed"
"Obama is biting their lip nervously in the White House Rose Garden.","6354241"
"Obama is straightening their tie giving a speech at a climate summit.","5067204"
"Obama is carrying a heavy leather briefcase in a university graduation hall.","7592357"
"Obama is laughing heartily with a close friend at a community center with children.","4018677"
"Obama is running fingers through their hair at a community center with children.","8356053"
"Obama is kneeling down to inspect something sitting in a library full of books.","9376917"
"Obama is straightening their tie in a modern office in Chicago.","5060441"
"Obama is shielding their eyes from the sun sitting in a casual diner drinking coffee.","8098909"
"Obama is pacing back and forth anxiously at a formal state dinner.","9040224"
"Obama is giving a thumbs up to the crowd walking through a sunlit corridor.","8017921"
"Obama is putting on a warm winter coat shaking hands with foreign dignitaries.","2425760"
"Obama is reading a thick printed document standing at a podium in a large arena.","3790696"
"Obama is eating a slice of green apple in the White House Rose Garden.","6563269"
"Obama is resting their head on their hand at a sunny outdoor basketball court.","2654343"
"Obama is drinking water from a transparent glass walking through a sunlit corridor.","9703982"
"Obama is shaking hands with an invisible partner standing at a podium in a large arena.","7562142"
"Obama is cutting a ribbon with scissors walking through a sunlit corridor.","3529080"
"Obama is leaning against a wall giving a speech at a climate summit.","2754047"
"Obama is jogging in place energetically on a hiking trail in Hawaii.","2947320"
"Obama is buttoning up a suit jacket in a modern office in Chicago.","6755703"
"Obama is looking tired and rubbing their eyes walking through a sunlit corridor.","9102153"
"Obama is wiping dust off a table walking on a sandy beach at sunset.","8351204"
"Obama is lighting a candle with a match on a hiking trail in Hawaii.","6037595"
"Obama is laughing heartily with a close friend at a sunny outdoor basketball court.","6755892"
"Obama is shaking their head in disapproval riding a bicycle on a park path.","9656941"
"Obama is checking their reflection in a mirror playing golf on a green course.","6553084"
"Obama is running fingers through their hair riding a bicycle on a park path.","7795568"
"Obama is wiping sweat from their forehead sitting in a library full of books.","7636771"
"Obama is brushing a speck of dust off their shoulder at a community center with children.","8542617"
"Obama is searching for keys in a pocket at a sunny outdoor basketball court.","4603680"
"Obama is pouring tea into a porcelain cup on a hiking trail in Hawaii.","2707116"
"Obama is putting on a warm winter coat inside the Situation Room.","4306357"
"Obama is laughing heartily with a close friend in a university graduation hall.","9212178"
"Obama is holding a trophy high in the air in the White House Rose Garden.","7585795"
"Obama is buttoning up a suit jacket standing at a podium in a large arena.","8681625"
"Obama is holding a tablet and scrolling on a hiking trail in Hawaii.","3247270"
"Obama is frowning while looking at a screen riding a bicycle on a park path.","6123426"
"Obama is wiping sweat from their forehead standing at a podium in a large arena.","3371602"
"Obama is jogging in place energetically sitting in a casual diner drinking coffee.","7437584"
"Obama is wiping sweat from their forehead giving a speech at a climate summit.","3906397"
"Obama is throwing a coin into a fountain in a modern office in Chicago.","3353785"
"Obama is lighting a candle with a match at a formal state dinner.","1899447"
"Obama is standing still and meditating giving a speech at a climate summit.","3290672"
"Obama is searching for keys in a pocket shaking hands with foreign dignitaries.","9479842"
"Obama is climbing a short flight of stairs giving a speech at a climate summit.","7973121"
"Obama is throwing a coin into a fountain playing golf on a green course.","2386982"
"Obama is drinking water from a transparent glass in a modern office in Chicago.","1548532"
"Obama is drinking water from a transparent glass shaking hands with foreign dignitaries.","5843084"
"Obama is gesturing with open palms during a speech giving a speech at a climate summit.","9569902"
"Obama is holding a microphone and speaking walking on a sandy beach at sunset.","5494430"
"Obama is saluting respectfully in a cozy neighborhood bookstore.","8404902"
"Obama is waving a hand to someone far away walking on a sandy beach at sunset.","5152891"
"Obama is sitting comfortably on a wooden chair at a formal state dinner.","5409307"
"Obama is shrugging their shoulders at a formal state dinner.","2969410"
"Obama is looking tired and rubbing their eyes standing at a podium in a large arena.","8183451"
"Obama is brushing a speck of dust off their shoulder sitting in a casual diner drinking coffee.","4466502"
"Obama is stretching their arms upwards standing at a podium in a large arena.","9930189"
"Obama is holding a trophy high in the air shaking hands with foreign dignitaries.","3824903"
"Obama is flipping through a photo album in a modern office in Chicago.","5485272"
"Obama is smiling gently at the camera sitting in a library full of books.","1994652"
"Obama is tapping their foot impatiently sitting in a casual diner drinking coffee.","3226183"
"Obama is winking playfully inside the Situation Room.","5153279"
"Obama is throwing a coin into a fountain sitting in a casual diner drinking coffee.","5508325"
"Obama is carrying a heavy leather briefcase at a formal state dinner.","2266952"
"Obama is holding a glass of red wine walking through a sunlit corridor.","5667852"
"Obama is giving a thumbs up to the crowd in the White House Rose Garden.","4654579"
"Obama is gazing strictly into the distance giving a speech at a climate summit.","5505300"
"Obama is holding a colorful bouquet of flowers inside the Situation Room.","3191007"
"Obama is tying their shoelaces in a cozy neighborhood bookstore.","1770794"
"Obama is checking their pulse on their wrist at a formal state dinner.","1273155"
"Obama is nodding their head in agreement at a formal state dinner.","8659103"
"Obama is waving a hand to someone far away at a community center with children.","3213134"
"Obama is nodding their head in agreement in a university graduation hall.","2565985"
"Obama is writing notes with a luxury pen on a hiking trail in Hawaii.","7238503"
"Obama is placing hands on their hips in the White House Rose Garden.","6125594"
"Obama is waving a hand to someone far away on a hiking trail in Hawaii.","2596917"
"Obama is cutting a ribbon with scissors riding a bicycle on a park path.","9714828"
"Obama is standing still and meditating at a sunny outdoor basketball court.","6764217"
"Obama is waving a hand to someone far away sitting in a casual diner drinking coffee.","9014480"
"Obama is checking a silver wristwatch in the White House Rose Garden.","2498726"
"Obama is resting their head on their hand inside the Situation Room.","7166661"
"Obama is smiling gently at the camera in the White House Rose Garden.","3233823"
"Obama is kneeling down to inspect something walking through a sunlit corridor.","1142182"
"Obama is clapping hands gently standing at a podium in a large arena.","4574477"
"Obama is climbing a short flight of stairs at a formal state dinner.","4644760"
"Obama is leaning forward to listen closely sitting in a casual diner drinking coffee.","3066235"
"Obama is buttoning up a suit jacket sitting in a library full of books.","6276495"
"Obama is reading a thick printed document in a university graduation hall.","2413458"
"Obama is checking their reflection in a mirror in a modern office in Chicago.","1450038"
"Obama is cleaning a pair of sunglasses in a modern office in Chicago.","1915518"
"Obama is reaching out to touch a flower in the White House Rose Garden.","2891524"
"Obama is reaching out to touch a flower on a hiking trail in Hawaii.","9863176"
"Obama is eating a slice of green apple sitting in a library full of books.","7130603"
"Obama is wiping dust off a table on a hiking trail in Hawaii.","1280001"
"Obama is standing still and meditating in a university graduation hall.","4619565"
"Obama is stretching their arms upwards in the White House Rose Garden.","9499515"
"Obama is checking their pulse on their wrist walking through a sunlit corridor.","7969792"
"Obama is holding a glass of red wine on a hiking trail in Hawaii.","3561552"
"Obama is rubbing their chin in deep thought in a modern office in Chicago.","2325761"
"Obama is looking surprised with wide eyes shaking hands with foreign dignitaries.","6481960"
"Obama is cutting a ribbon with scissors on a hiking trail in Hawaii.","6203780"
"Obama is talking seriously on a mobile phone in a cozy neighborhood bookstore.","5101689"
"Obama is pointing at a landmark in the distance walking on a sandy beach at sunset.","8606317"
"Obama is adjusting a microphone on a stand playing golf on a green course.","3003921"
"Obama is smiling gently at the camera at a sunny outdoor basketball court.","3748655"
"Obama is buttoning up a suit jacket walking through a sunlit corridor.","9677559"
"Obama is shaking their head in disapproval standing at a podium in a large arena.","3129542"
"Obama is frowning while looking at a screen at a sunny outdoor basketball court.","6620552"
"Obama is typing quickly on a slim laptop walking through a sunlit corridor.","2071594"
"Obama is holding a microphone and speaking on a hiking trail in Hawaii.","9323974"
"Obama is opening a heavy wooden door standing at a podium in a large arena.","1930113"
"Obama is eating a slice of green apple playing golf on a green course.","7168777"
"Obama is writing notes with a luxury pen walking on a sandy beach at sunset.","2934976"
"Obama is opening a heavy wooden door at a sunny outdoor basketball court.","1738833"
"Obama is reading a thick printed document in a cozy neighborhood bookstore.","8914896"
"Obama is searching for keys in a pocket sitting in a casual diner drinking coffee.","4002466"
"Obama is checking their reflection in a mirror sitting in a library full of books.","4766741"
"Obama is reading a thick printed document sitting in a library full of books.","6367620"
"Obama is pacing back and forth anxiously standing at a podium in a large arena.","3003215"
"Obama is biting their lip nervously riding a bicycle on a park path.","9653253"
"Obama is adjusting a microphone on a stand inside the Situation Room.","2449308"
"Obama is standing still and meditating standing at a podium in a large arena.","4366703"
"Obama is eating a slice of green apple in a modern office in Chicago.","5069884"
"Obama is holding a passport and boarding pass giving a speech at a climate summit.","4278644"
"Obama is looking surprised with wide eyes at a sunny outdoor basketball court.","7879264"
"Obama is checking a silver wristwatch shaking hands with foreign dignitaries.","6812025"
"Obama is holding a cup of hot coffee with both hands at a sunny outdoor basketball court.","7312844"
"Obama is resting their head on their hand at a community center with children.","9888812"
"Obama is jogging in place energetically giving a speech at a climate summit.","2004872"
"Obama is whispering into someone's ear sitting in a library full of books.","7249378"
"Obama is rubbing their chin in deep thought walking on a sandy beach at sunset.","9479670"
"Obama is straightening their tie in the White House Rose Garden.","2255447"
"Obama is pointing at a landmark in the distance sitting in a casual diner drinking coffee.","4972370"
"Obama is holding a black umbrella in the breeze inside the Situation Room.","7592651"
"Obama is pacing back and forth anxiously at a community center with children.","3283577"
"Obama is looking surprised with wide eyes walking on a sandy beach at sunset.","3757754"
"Obama is running fingers through their hair inside the Situation Room.","7820148"
"Obama is giving a thumbs up to the crowd standing at a podium in a large arena.","4483557"
"Obama is adjusting a microphone on a stand at a formal state dinner.","5446095"
"Obama is shrugging their shoulders playing golf on a green course.","6103880"
"Obama is gazing strictly into the distance inside the Situation Room.","3488460"
"Obama is holding a tablet and scrolling in a university graduation hall.","3917016"
"Obama is holding a glass of red wine at a formal state dinner.","5191831"
"Obama is running fingers through their hair walking on a sandy beach at sunset.","3345338"
"Obama is standing still and meditating in a cozy neighborhood bookstore.","4729376"
"Obama is closing their eyes to enjoy the breeze in the White House Rose Garden.","7245146"
"Obama is signing an autograph on a piece of paper in a university graduation hall.","2258076"
"Obama is kneeling down to inspect something at a community center with children.","8439543"
"Obama is shrugging their shoulders inside the Situation Room.","3055673"
"Obama is running fingers through their hair in a cozy neighborhood bookstore.","3818391"
"Obama is cleaning a pair of sunglasses giving a speech at a climate summit.","1494630"
"Obama is waving a hand to someone far away playing golf on a green course.","6938182"
"Obama is wiping sweat from their forehead in a university graduation hall.","5695180"
"Obama is looking surprised with wide eyes in a cozy neighborhood bookstore.","5123584"
"Obama is reaching out to touch a flower sitting in a library full of books.","9036805"
"Obama is shrugging their shoulders in a university graduation hall.","7425930"
"Obama is jogging in place energetically at a community center with children.","9821696"
"Obama is checking their pulse on their wrist shaking hands with foreign dignitaries.","1327658"
"Obama is adjusting the collar of a jacket giving a speech at a climate summit.","9131572"
"Obama is eating a slice of green apple walking through a sunlit corridor.","6395626"
"Obama is typing quickly on a slim laptop playing golf on a green course.","1437264"
"Obama is holding a trophy high in the air riding a bicycle on a park path.","1491630"
