"Prompt","Seed"
"Angela Merkel is leaning forward to listen closely at the Reichstag building in Berlin.","4472094"
"Angela Merkel is straightening their tie in a scientific research laboratory.","2374659"
"Angela Merkel is laughing heartily with a close friend in a scientific research laboratory.","7668395"
"Angela Merkel is throwing a coin into a fountain inside a quiet German grocery store.","2529023"
"Angela Merkel is wiping sweat from their forehead sitting at a cafe in Berlin.","7399588"
"Angela Merkel is wiping sweat from their forehead visiting a soccer stadium.","1748547"
"Angela Merkel is clapping hands gently visiting a soccer stadium.","5419132"
"Angela Merkel is typing quickly on a slim laptop at a European Union summit in Brussels.","3535551"
"Angela Merkel is rubbing their chin in deep thought sitting at a cafe in Berlin.","7945543"
"Angela Merkel is checking their reflection in a mirror at a European Union summit in Brussels.","7494562"
"Angela Merkel is giving a thumbs up to the crowd reading a newspaper on a train.","4953417"
"Angela Merkel is holding a tablet and scrolling in the garden of the Federal Chancellery.","7623718"
"Angela Merkel is stepping out of a luxury car wearing a colorful blazer at a press event.","3473761"
"Angela Merkel is shaking hands with an invisible partner at a G7 summit round table.","3804559"
"Angela Merkel is adjusting their glasses with a serious look standing in front of a European flag.","1715982"
"Angela Merkel is rubbing their chin in deep thought inspecting a factory production line.","4387643"
"Angela Merkel is holding a trophy high in the air inside a quiet German grocery store.","6364506"
"Angela Merkel is shrugging their shoulders attending a classical music concert.","7666510"
"Angela Merkel is pouring tea into a porcelain cup wearing a colorful blazer at a press event.","8686601"
"Angela Merkel is tucking hair behind their ear wearing a colorful blazer at a press event.","8039616"
"Angela Merkel is jogging in place energetically standing in front of a European flag.","3486379"
"Angela Merkel is resting their head on their hand walking through the Brandenburg Gate.","5799841"
"Angela Merkel is climbing a short flight of stairs inside a quiet German grocery store.","7426403"
"Angela Merkel is holding a microphone and speaking reading a newspaper on a train.","1628569"
"Angela Merkel is pouring tea into a porcelain cup attending a classical music concert.","3413447"
"Angela Merkel is sitting comfortably on a wooden chair attending a classical music concert.","6561547"
"Angela Merkel is placing hands on their hips reading a newspaper on a train.","5506097"
"Angela Merkel is turning around to face the light hiking in the Alps with a backpack.","6084418"
"Angela Merkel is pouring tea into a porcelain cup reading a newspaper on a train.","2647814"
"Angela Merkel is smiling gently at the camera in a scientific research laboratory.","8434162"
"Angela Merkel is typing quickly on a slim laptop inspecting a factory production line.","2497984"
"Angela Merkel is clapping hands gently addressing the Bundestag from a podium.","7831185"
"Angela Merkel is whispering into someone's ear sitting at a cafe in Berlin.","1942977"
"Angela Merkel is kneeling down to inspect something in a scientific research laboratory.","9502613"
"Angela Merkel is smiling gently at the camera wearing a colorful blazer at a press event.","1485669"
"Angela Merkel is adjusting their glasses with a serious look addressing the Bundestag from a podium.","1966829"
"Angela Merkel is sitting comfortably on a wooden chair visiting a soccer stadium.","1848243"
"Angela Merkel is closing their eyes to enjoy the breeze inside a quiet German grocery store.","7179919"
"Angela Merkel is stepping out of a luxury car attending a classical music concert.","3078241"
"Angela Merkel is talking seriously on a mobile phone sitting at a cafe in Berlin.","9200480"
"Angela Merkel is biting their lip nervously reading a newspaper on a train.","6867997"
"Angela Merkel is nodding their head in agreement inside a quiet German grocery store.","2516524"
"Angela Merkel is leaning against a wall attending a classical music concert.","1833006"
"Angela Merkel is holding a microphone and speaking addressing the Bundestag from a podium.","4713654"
"Angela Merkel is looking tired and rubbing their eyes inside a quiet German grocery store.","7870390"
"Angela Merkel is standing still and meditating reading a newspaper on a train.","3219862"
"Angela Merkel is holding a trophy high in the air at the Reichstag building in Berlin.","4754238"
"Angela Merkel is shaking a bottle of champagne in a scientific research laboratory.","5620085"
"Angela Merkel is carrying a heavy leather briefcase sitting at a cafe in Berlin.","8700708"
"Angela Merkel is gazing strictly into the distance visiting a soccer stadium.","6069153"
"Angela Merkel is signing an autograph on a piece of paper walking through the Brandenburg Gate.","1123271"
"Angela Merkel is admiring a painting on the wall in a scientific research laboratory.","6007595"
"Angela Merkel is drawing a circle on a whiteboard in the garden of the Federal Chancellery.","6641903"
"Angela Merkel is straightening their tie hiking in the Alps with a backpack.","5645358"
"Angela Merkel is tapping their foot impatiently in a scientific research laboratory.","4160157"
"Angela Merkel is whispering into someone's ear in a formal conference room.","1952520"
"Angela Merkel is shielding their eyes from the sun hiking in the Alps with a backpack.","3347627"
"Angela Merkel is tapping their foot impatiently reading a newspaper on a train.","5959422"
"Angela Merkel is jogging in place energetically attending a classical music concert.","7514172"
"Angela Merkel is signing an autograph on a piece of paper addressing the Bundestag from a podium.","6757387"
"Angela Merkel is shaking their head in disapproval holding flowers at a memorial.","4038955"
"Angela Merkel is leaning forward to listen closely reading a newspaper on a train.","3146546"
"Angela Merkel is admiring a painting on the wall at a G7 summit round table.","6630978"
"Angela Merkel is drinking water from a transparent glass sitting at a cafe in Berlin.","4746820"
"Angela Merkel is jogging in place energetically hiking in the Alps with a backpack.","7235796"
"Angela Merkel is signing an autograph on a piece of paper in a scientific research laboratory.","8780612"
"Angela Merkel is wiping dust off a table at a European Union summit in Brussels.","2194801"
"Angela Merkel is adjusting their glasses with a serious look wearing a colorful blazer at a press event.","3010177"
"Angela Merkel is posing for a formal photograph in a scientific research laboratory.","7930789"
"Angela Merkel is looking surprised with wide eyes standing in front of a European flag.","4360419"
"Angela Merkel is climbing a short flight of stairs visiting a soccer stadium.","3402902"
"Angela Merkel is wiping sweat from their forehead in the garden of the Federal Chancellery.","9180249"
"Angela Merkel is checking their pulse on their wrist at a G7 summit round table.","6258215"
"Angela Merkel is walking slowly and thoughtfully visiting a soccer stadium.","5589036"
"Angela Merkel is shaking their head in disapproval at a G7 summit round table.","9213740"
"Angela Merkel is yawning while covering their mouth inspecting a factory production line.","8204299"
"Angela Merkel is waving a hand to someone far away reading a newspaper on a train.","7430982"
"Angela Merkel is sitting comfortably on a wooden chair holding flowers at a memorial.","4345615"
"Angela Merkel is standing still and meditating hiking in the Alps with a backpack.","9909268"
"Angela Merkel is turning around to face the light at the Reichstag building in Berlin.","5174559"
"Angela Merkel is buttoning up a suit jacket in a scientific research laboratory.","3163099"
"Angela Merkel is searching for keys in a pocket wearing a colorful blazer at a press event.","6135759"
"Angela Merkel is kneeling down to inspect something at a European Union summit in Brussels.","6003003"
"Angela Merkel is gesturing with open palms during a speech wearing a colorful blazer at a press event.","9793234"
"Angela Merkel is pointing at a landmark in the distance standing in front of a European flag.","6750102"
"Angela Merkel is adjusting the collar of a jacket addressing the Bundestag from a podium.","3766286"
"Angela Merkel is turning around to face the light in a formal conference room.","4763487"
"Angela Merkel is gazing strictly into the distance at the Reichstag building in Berlin.","9466346"
"Angela Merkel is frowning while looking at a screen sitting at a cafe in Berlin.","1626854"
"Angela Merkel is straightening their tie inside a quiet German grocery store.","9971338"
"Angela Merkel is holding a trophy high in the air at a European Union summit in Brussels.","2813842"
"Angela Merkel is placing hands on their hips walking through the Brandenburg Gate.","7992333"
"Angela Merkel is carrying a heavy leather briefcase walking through the Brandenburg Gate.","5240244"
"Angela Merkel is looking surprised with wide eyes addressing the Bundestag from a podium.","1156104"
"Angela Merkel is jogging in place energetically walking through the Brandenburg Gate.","9729340"
"Angela Merkel is tucking hair behind their ear standing in front of a European flag.","8026730"
"Angela Merkel is opening a heavy wooden door walking through the Brandenburg Gate.","5743032"
"Angela Merkel is resting their head on their hand reading a newspaper on a train.","4332737"
"Angela Merkel is holding a black umbrella in the breeze wearing a colorful blazer at a press event.","4383514"
"Angela Merkel is climbing a short flight of stairs in a scientific research laboratory.","3690622"
"Angela Merkel is checking their reflection in a mirror reading a newspaper on a train.","4484526"
"Angela Merkel is holding a cup of hot coffee with both hands in a formal conference room.","1045936"
"Angela Merkel is adjusting a hat on their head in the garden of the Federal Chancellery.","2852723"
