"Prompt","Seed"
"A dressed tall lifeguard is drying their hair with a towel on the deck of a cruise ship.","4892432"
"A fully clothed sexy adult man is standing beside the water and wearing sunglasses on the deck of a cruise ship.","7300391"
"A fully clothed tall Black bodybuilder is standing beside the water and wearing sunglasses at a sunny tropical beach.","4176703"
"A wearing-a-top tattooed housewife is drying their hair with a towel beside a luxury swimming pool.","1513883"
"A dressed curvy woman is taking a cold plunge bath beside a luxury swimming pool.","2947247"
"A fully clothed fit supermodel is tying a bathrobe belt in a walk-in closet with mirrors.","8428854"
"A wearing-a-top tall brunette lifeguard is reading a book while lying on a sofa in a hotel room at night.","2214365"
"A clothed tanned Black fitness instructor is standing still for a 3D body scan inside a doctor's examination room.","4806321"
"A clothed slim housewife is posing for a bodybuilding competition in a classic museum gallery.","3462618"
"A dressed sexy gymnast is modeling for an art class painting in a classic museum gallery.","3579965"
"A dressed slim short-haired office lady is examining an X-ray film in a professional spa salon.","7841142"
"A dressed athletic college student is sunbathing on a lounge chair beside a luxury swimming pool.","3535937"
"A fully clothed fit office lady is modeling for an art class painting in a gym locker room.","3387282"
"A clothed slim Latina gymnast is choosing an outfit from the wardrobe in a personal dressing room.","6366465"
"A dressed fit Latina man is posing for a bodybuilding competition on a circular modeling stage.","9555881"
"A wearing-a-top petite long-haired housewife is choosing an outfit from the wardrobe in a personal dressing room.","4828733"
"A clothed petite blonde supermodel is applying sunscreen on their arms inside a wooden sauna room.","2118275"
"A wearing-a-top fit secretary is sleeping soundly under a blanket in a personal dressing room.","8001124"
"A dressed tanned Latina supermodel is stretching before a run in a gym locker room.","2905648"
"A wearing-a-top chubby housewife is posing for a bodybuilding competition in a brightly lit art studio.","2222361"
"A clothed tanned Asian nurse is sunbathing on a lounge chair at a water park with slides.","1121108"
"A clothed pale-skinned ballerina is drying their hair with a towel inside a wooden sauna room.","5391622"
"A wearing-a-top tall African American housewife is posing for a bodybuilding competition in a gym locker room.","5461389"
"A wearing-a-top chubby Asian fitness instructor is posing for a bodybuilding competition in a classic museum gallery.","1393129"
"A fully clothed tanned redhead lifeguard is standing still for a 3D body scan inside a doctor's examination room.","6868619"
"A clothed curvy short-haired lifeguard is getting a shoulder massage inside a doctor's examination room.","9247498"
"A fully clothed petite short-haired woman is practicing yoga poses on a mat in a classic museum gallery.","3178358"
"A clothed slim ballerina is examining an X-ray film inside a doctor's examination room.","9194888"
"A clothed slim Asian woman is drying their hair with a towel inside a wooden sauna room.","1111637"
"A fully clothed muscular blonde office lady is stretching before a run on a circular modeling stage.","6551805"
"A dressed muscular Black supermodel is standing still for a 3D body scan in a brightly lit art studio.","1469073"
"A dressed athletic bodybuilder is measuring their waist with a tape in a high-tech medical lab.","2827414"
"A fully clothed chubby supermodel is examining an X-ray film inside a doctor's examination room.","5003591"
"A dressed plump Black adult man is standing beside the water and wearing sunglasses inside a wooden sauna room.","1754192"
"A clothed plump office lady is applying sunscreen on their arms on the deck of a cruise ship.","6021497"
"A clothed tattooed supermodel is waking up and stretching in bed inside a bright tiled bathroom.","1258010"
"A fully clothed muscular college student is brushing their teeth in front of a mirror inside a bright tiled bathroom.","3502046"
"A dressed pale-skinned short-haired adult woman is taking a cold plunge bath at a sunny tropical beach.","2875103"
