"Prompt","Seed"
"Queen Elizabeth II is adjusting a hat on their head on the palace balcony during a parade.","5205840"
"Queen Elizabeth II is closing their eyes to enjoy the breeze petting a corgi dog on a sofa.","6550757"
"Queen Elizabeth II is yawning while covering their mouth walking down a long red carpet.","2678477"
"Queen Elizabeth II is tucking hair behind their ear on the palace balcony during a parade.","4246367"
"Queen Elizabeth II is throwing a coin into a fountain at a traditional English tea room.","6508733"
"Queen Elizabeth II is signing an autograph on a piece of paper sitting in a red velvet armchair.","7115185"
"Queen Elizabeth II is waving a hand to someone far away near a golden royal carriage.","1081065"
"Queen Elizabeth II is reading a thick printed document walking down a long red carpet.","8316947"
"Queen Elizabeth II is putting on a warm winter coat sitting in a red velvet armchair.","6562703"
"Queen Elizabeth II is running fingers through their hair at a traditional English tea room.","7018685"
"Queen Elizabeth II is throwing a coin into a fountain planting a tree in a garden.","2825908"
"Queen Elizabeth II is looking at their fingernails on the palace balcony during a parade.","5707954"
"Queen Elizabeth II is giving a thumbs up to the crowd wearing a crown and holding a scepter.","5416344"
"Queen Elizabeth II is pacing back and forth anxiously at the historic Windsor Castle.","9509040"
"Queen Elizabeth II is signing an autograph on a piece of paper walking through a stable of horses.","4569531"
"Queen Elizabeth II is checking their reflection in a mirror at a state banquet with silver cutlery.","8920589"
"Queen Elizabeth II is putting on a warm winter coat walking through a stable of horses.","4746463"
"Queen Elizabeth II is smiling gently at the camera at a traditional English tea room.","9407451"
"Queen Elizabeth II is cleaning a pair of sunglasses at the Balmoral estate in Scotland.","9424968"
"Queen Elizabeth II is shielding their eyes from the sun walking down a long red carpet.","3782393"
"Queen Elizabeth II is shaking hands with an invisible partner near a golden royal carriage.","4005557"
"Queen Elizabeth II is drawing a circle on a whiteboard at the Balmoral estate in Scotland.","1678132"
"Queen Elizabeth II is throwing a coin into a fountain walking down a long red carpet.","2054635"
"Queen Elizabeth II is holding a passport and boarding pass walking down a long red carpet.","1718206"
"Queen Elizabeth II is whispering into someone's ear at the Balmoral estate in Scotland.","7511121"
"Queen Elizabeth II is gesturing with open palms during a speech in the gardens of Buckingham Palace.","1669489"
"Queen Elizabeth II is resting their head on their hand wearing a headscarf in the rain.","5588489"
"Queen Elizabeth II is signing an autograph on a piece of paper planting a tree in a garden.","3916715"
"Queen Elizabeth II is tapping their foot impatiently walking through a stable of horses.","7128662"
"Queen Elizabeth II is whispering into someone's ear at a state banquet with silver cutlery.","7313749"
"Queen Elizabeth II is whispering into someone's ear walking through a stable of horses.","6920646"
"Queen Elizabeth II is throwing a coin into a fountain petting a corgi dog on a sofa.","1110690"
"Queen Elizabeth II is clapping hands gently near a golden royal carriage.","4858604"
"Queen Elizabeth II is opening a heavy wooden door at a state banquet with silver cutlery.","4548668"
"Queen Elizabeth II is wiping sweat from their forehead near a golden royal carriage.","7077092"
"Queen Elizabeth II is laughing heartily with a close friend petting a corgi dog on a sofa.","9033176"
"Queen Elizabeth II is looking tired and rubbing their eyes near a golden royal carriage.","7893744"
"Queen Elizabeth II is reading a thick printed document in the gardens of Buckingham Palace.","3145556"
"Queen Elizabeth II is smiling gently at the camera wearing a headscarf in the rain.","1657513"
"Queen Elizabeth II is stretching their arms upwards near a golden royal carriage.","5332877"
"Queen Elizabeth II is rubbing their chin in deep thought wearing a crown and holding a scepter.","8536381"
"Queen Elizabeth II is drawing a circle on a whiteboard near a golden royal carriage.","4680314"
"Queen Elizabeth II is holding a trophy high in the air sitting in a red velvet armchair.","4051509"
"Queen Elizabeth II is shaking their head in disapproval at the Royal Ascot horse racecourse.","8607966"
"Queen Elizabeth II is checking a silver wristwatch walking through a stable of horses.","7466977"
"Queen Elizabeth II is resting their head on their hand at the historic Windsor Castle.","4394845"
"Queen Elizabeth II is looking surprised with wide eyes inside a royal library with old books.","3976650"
"Queen Elizabeth II is brushing a speck of dust off their shoulder in the gardens of Buckingham Palace.","9915915"
"Queen Elizabeth II is shrugging their shoulders petting a corgi dog on a sofa.","3186555"
"Queen Elizabeth II is tapping their foot impatiently driving a Land Rover on a country road.","9758448"
"Queen Elizabeth II is holding a passport and boarding pass in the gardens of Buckingham Palace.","9888846"
"Queen Elizabeth II is checking a silver wristwatch petting a corgi dog on a sofa.","7396087"
"Queen Elizabeth II is cutting a ribbon with scissors inside a royal library with old books.","8138527"
"Queen Elizabeth II is writing notes with a luxury pen petting a corgi dog on a sofa.","4900918"
"Queen Elizabeth II is holding a colorful bouquet of flowers planting a tree in a garden.","7855954"
"Queen Elizabeth II is adjusting their glasses with a serious look at the historic Windsor Castle.","1119354"
"Queen Elizabeth II is whispering into someone's ear at the historic Windsor Castle.","7291957"
"Queen Elizabeth II is lighting a candle with a match driving a Land Rover on a country road.","7077878"
"Queen Elizabeth II is looking surprised with wide eyes driving a Land Rover on a country road.","5255251"
"Queen Elizabeth II is giving a thumbs up to the crowd driving a Land Rover on a country road.","7134489"
